Logdir logdir\ndnf_dreamer_demo_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,760: rssm
       146,695: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 841193 parameters.
Evaluating the policy...
[0] episode/eval_score 0.0 / episode/eval_length 360.0
[16] episode/score 1.0 / episode/length 16.0
[40] episode/score 0.9 / episode/length 24.0
[55] episode/score 1.0 / episode/length 15.0
[66] train/opt/updates 0.0 / fps/fps 0.0
[71] episode/score 1.0 / episode/length 16.0
[94] episode/score 0.9 / episode/length 23.0
[104] episode/score 1.0 / episode/length 10.0
[127] episode/score 0.9 / episode/length 23.0
[147] episode/score 0.9 / episode/length 20.0
[158] episode/score 1.0 / episode/length 11.0
[168] episode/score 1.0 / episode/length 10.0
[192] episode/score 0.9 / episode/length 24.0
[206] episode/score 1.0 / episode/length 14.0
[223] episode/score 1.0 / episode/length 17.0
[238] episode/score 1.0 / episode/length 15.0
[258] episode/score 0.9 / episode/length 20.0
[272] episode/score 1.0 / episode/length 14.0
[298] episode/score 0.9 / episode/length 26.0
[313] episode/score 1.0 / episode/length 15.0
[329] episode/score 1.0 / episode/length 16.0
[349] episode/score 0.9 / episode/length 20.0
[365] episode/score 1.0 / episode/length 16.0
[385] episode/score 0.9 / episode/length 20.0
[404] episode/score 1.0 / episode/length 19.0
[427] episode/score 0.9 / episode/length 23.0
[435] episode/score 1.0 / episode/length 8.0
[452] episode/score 1.0 / episode/length 17.0
[467] episode/score 1.0 / episode/length 15.0
[484] episode/score 1.0 / episode/length 17.0
[504] episode/score 0.9 / episode/length 20.0
[519] episode/score 1.0 / episode/length 15.0
[531] episode/score 1.0 / episode/length 12.0
[546] episode/score 1.0 / episode/length 15.0
[556] episode/score 1.0 / episode/length 10.0
[577] episode/score 0.9 / episode/length 21.0
[595] episode/score 1.0 / episode/length 18.0
[620] episode/score 0.9 / episode/length 25.0
[639] episode/score 1.0 / episode/length 19.0
[656] episode/score 1.0 / episode/length 17.0
[671] episode/score 1.0 / episode/length 15.0
